idx,account,tx_deg,tx_S,tx_B,tx_S_ratio,bhv_S,bhv_B,bhv_S_ratio,shift
3463,132:9000000004230188,172,21,151,0.12209302325581395,3,7,0.3,0.17790697674418604
3464,132:9000000004230189,182,15,167,0.08241758241758242,7,3,0.7,0.6175824175824175
3484,132:9000000004243948,148,5,143,0.033783783783783786,9,1,0.9,0.8662162162162163
3582,133:9000000000007835,168,40,128,0.23809523809523808,9,1,0.9,0.661904761904762
3625,133:9000000000008002,210,25,185,0.11904761904761904,9,1,0.9,0.780952380952381
3636,133:9000000000008047,151,40,111,0.26490066225165565,9,1,0.9,0.6350993377483444
3652,133:9000000000008102,263,34,229,0.12927756653992395,10,0,1.0,0.870722433460076
3687,133:9000000000008237,268,63,205,0.23507462686567165,10,0,1.0,0.7649253731343284
3689,133:9000000000008241,90,28,62,0.3111111111111111,10,0,1.0,0.6888888888888889
3718,133:9000000000008359,408,33,375,0.08088235294117647,7,3,0.7,0.6191176470588234
3724,133:9000000000008378,230,73,157,0.3173913043478261,9,1,0.9,0.5826086956521739
3731,133:9000000000008400,84,9,75,0.10714285714285714,7,3,0.7,0.5928571428571429
3734,133:9000000000008407,584,91,493,0.1558219178082192,9,1,0.9,0.7441780821917808
3770,133:9000000000008572,261,56,205,0.21455938697318008,2,8,0.2,-0.014559386973180072
3803,133:9000000000008726,406,69,337,0.16995073891625614,1,9,0.1,-0.06995073891625614
3841,133:9000000000008876,213,35,178,0.1643192488262911,9,1,0.9,0.7356807511737089
3857,133:9000000000008949,324,83,241,0.25617283950617287,8,2,0.8,0.5438271604938272
3890,133:9000000000009078,328,65,263,0.19817073170731708,10,0,1.0,0.8018292682926829
3891,133:9000000000009081,110,16,94,0.14545454545454545,7,3,0.7,0.5545454545454545
3908,133:9000000000009143,154,14,140,0.09090909090909091,7,3,0.7,0.609090909090909
3916,133:9000000000009166,256,39,217,0.15234375,8,2,0.8,0.64765625
3931,133:9000000000009234,250,24,226,0.096,0,10,0.0,-0.096
3943,133:9000000000009272,149,18,131,0.12080536912751678,7,3,0.7,0.5791946308724831
3955,133:9000000000009317,209,17,192,0.08133971291866028,8,2,0.8,0.7186602870813398
3977,133:9000000000009410,438,60,378,0.136986301369863,9,1,0.9,0.763013698630137
3984,133:9000000000009438,923,72,851,0.0780065005417118,3,7,0.3,0.22199349945828817
3993,133:9000000000009496,376,29,347,0.07712765957446809,9,1,0.9,0.8228723404255319
4003,133:9000000000009525,185,24,161,0.12972972972972974,8,2,0.8,0.6702702702702703
4058,133:9000000000009731,327,25,302,0.0764525993883792,5,5,0.5,0.4235474006116208
4059,133:9000000000009732,332,29,303,0.08734939759036145,5,5,0.5,0.4126506024096386
4077,133:9000000000009822,384,43,341,0.11197916666666667,4,6,0.4,0.28802083333333334
4100,133:9000000000009893,351,13,338,0.037037037037037035,9,1,0.9,0.8629629629629629
4102,133:9000000000009902,264,48,216,0.18181818181818182,9,1,0.9,0.7181818181818183
4105,133:9000000000009916,124,7,117,0.056451612903225805,8,2,0.8,0.7435483870967743
4107,133:9000000000009935,163,22,141,0.13496932515337423,2,8,0.2,0.06503067484662578
4134,133:9000000000010101,223,36,187,0.16143497757847533,10,0,1.0,0.8385650224215246
4152,133:9000000000010160,136,31,105,0.22794117647058823,2,8,0.2,-0.02794117647058822
4156,133:9000000000010171,107,4,103,0.037383177570093455,7,3,0.7,0.6626168224299065
4159,133:9000000000010197,268,18,250,0.06716417910447761,5,5,0.5,0.4328358208955224
4174,133:9000000000010259,121,11,110,0.09090909090909091,7,3,0.7,0.609090909090909
4201,133:9000000000010369,209,11,198,0.05263157894736842,3,7,0.3,0.24736842105263157
4207,133:9000000000010402,182,15,167,0.08241758241758242,5,5,0.5,0.4175824175824176
4229,133:9000000000010500,185,44,141,0.23783783783783785,4,6,0.4,0.16216216216216217
4256,133:9000000000010610,202,39,163,0.19306930693069307,10,0,1.0,0.806930693069307
4257,133:9000000000010616,95,24,71,0.25263157894736843,7,3,0.7,0.4473684210526315
4261,133:9000000000010654,159,45,114,0.2830188679245283,9,1,0.9,0.6169811320754717
4285,133:9000000000010726,483,82,401,0.16977225672877846,2,8,0.2,0.030227743271221547
4337,133:9000000000010919,139,28,111,0.2014388489208633,8,2,0.8,0.5985611510791368
4340,133:9000000000010926,299,51,248,0.1705685618729097,9,1,0.9,0.7294314381270903
4353,133:9000000000010969,212,30,182,0.14150943396226415,4,6,0.4,0.2584905660377359
4365,133:9000000000011033,234,24,210,0.10256410256410256,2,8,0.2,0.09743589743589745
4372,133:9000000000011072,342,21,321,0.06140350877192982,7,3,0.7,0.6385964912280702
4391,133:9000000000011143,149,21,128,0.14093959731543623,8,2,0.8,0.6590604026845638
4394,133:9000000000011154,113,17,96,0.1504424778761062,8,2,0.8,0.6495575221238938
4411,133:9000000000011227,112,45,67,0.4017857142857143,10,0,1.0,0.5982142857142857
4414,133:9000000000011243,298,38,260,0.12751677852348994,4,6,0.4,0.27248322147651005
4421,133:9000000000011274,202,20,182,0.09900990099009901,4,6,0.4,0.30099009900990104
4442,133:9000000000011379,99,12,87,0.12121212121212122,5,5,0.5,0.3787878787878788
4452,133:9000000000011409,258,20,238,0.07751937984496124,7,3,0.7,0.6224806201550387
4463,133:9000000000011439,258,50,208,0.1937984496124031,9,1,0.9,0.7062015503875969
4490,133:9000000000011538,219,16,203,0.0730593607305936,10,0,1.0,0.9269406392694064
4491,133:9000000000011543,195,11,184,0.05641025641025641,7,3,0.7,0.6435897435897435
4493,133:9000000000011545,173,29,144,0.1676300578034682,8,2,0.8,0.6323699421965319
4500,133:9000000000011564,798,102,696,0.12781954887218044,1,9,0.1,-0.02781954887218044
4511,133:9000000000011631,290,35,255,0.1206896551724138,8,2,0.8,0.6793103448275862
4536,133:9000000000011742,208,16,192,0.07692307692307693,6,4,0.6,0.523076923076923
4550,133:9000000000011829,151,21,130,0.1390728476821192,8,2,0.8,0.6609271523178808
4570,133:9000000004230226,176,21,155,0.11931818181818182,5,5,0.5,0.3806818181818182
4607,133:9000000004230263,147,23,124,0.1564625850340136,9,1,0.9,0.7435374149659864
4648,133:9000000004230305,215,34,181,0.15813953488372093,8,2,0.8,0.6418604651162791
4690,133:9000000004230348,258,30,228,0.11627906976744186,10,0,1.0,0.8837209302325582
4701,133:9000000004230359,205,52,153,0.25365853658536586,10,0,1.0,0.7463414634146341
4729,133:9000000004230387,125,12,113,0.096,8,2,0.8,0.7040000000000001
4753,133:9000000004230412,94,30,64,0.3191489361702128,10,0,1.0,0.6808510638297872
4780,133:9000000004230441,364,25,339,0.06868131868131869,7,3,0.7,0.6313186813186813
4783,133:9000000004230444,276,37,239,0.13405797101449277,5,5,0.5,0.3659420289855072
4786,133:9000000004230447,265,86,179,0.32452830188679244,8,2,0.8,0.4754716981132076
4796,133:9000000004230457,552,111,441,0.20108695652173914,2,8,0.2,-0.0010869565217391242
4832,133:9000000004230493,280,35,245,0.125,2,8,0.2,0.07500000000000001
4865,133:9000000004230526,353,59,294,0.1671388101983003,9,1,0.9,0.7328611898016997
4903,133:9000000004230564,151,52,99,0.3443708609271523,9,1,0.9,0.5556291390728477
4904,133:9000000004230565,59,7,52,0.11864406779661017,6,4,0.6,0.4813559322033898
4919,133:9000000004230580,331,54,277,0.16314199395770393,10,0,1.0,0.8368580060422961
4951,133:9000000004230612,208,49,159,0.23557692307692307,8,2,0.8,0.5644230769230769
4952,133:9000000004230613,271,33,238,0.12177121771217712,10,0,1.0,0.8782287822878229
4953,133:9000000004230614,129,32,97,0.24806201550387597,8,2,0.8,0.5519379844961241
4957,133:9000000004230618,296,35,261,0.11824324324324324,2,8,0.2,0.08175675675675677
4978,133:9000000004230639,184,36,148,0.1956521739130435,9,1,0.9,0.7043478260869566
4993,133:9000000004230654,181,15,166,0.08287292817679558,0,10,0.0,-0.08287292817679558
5017,133:9000000004230678,176,50,126,0.2840909090909091,7,3,0.7,0.41590909090909084
5039,133:9000000004230700,447,76,371,0.17002237136465326,1,9,0.1,-0.07002237136465325
5066,133:9000000004230727,118,23,95,0.19491525423728814,8,2,0.8,0.6050847457627119
5074,133:9000000004230736,123,18,105,0.14634146341463414,5,5,0.5,0.35365853658536583
5108,133:9000000004230770,152,25,127,0.16447368421052633,10,0,1.0,0.8355263157894737
5119,133:9000000004230781,293,52,241,0.17747440273037543,9,1,0.9,0.7225255972696246
5162,133:9000000004230825,274,37,237,0.13503649635036497,9,1,0.9,0.7649635036496351
5165,133:9000000004230828,155,36,119,0.23225806451612904,10,0,1.0,0.7677419354838709
5192,133:9000000004230857,190,24,166,0.12631578947368421,7,3,0.7,0.5736842105263158
5210,133:9000000004230875,122,46,76,0.3770491803278688,2,8,0.2,-0.17704918032786882
5249,133:9000000004230916,196,19,177,0.09693877551020408,7,3,0.7,0.6030612244897959
5279,133:9000000004230946,185,19,166,0.10270270270270271,9,1,0.9,0.7972972972972974
5311,133:9000000004230980,124,24,100,0.1935483870967742,9,1,0.9,0.7064516129032259
5315,133:9000000004230984,149,40,109,0.2684563758389262,9,1,0.9,0.6315436241610739
5338,133:9000000004231008,529,83,446,0.15689981096408318,1,9,0.1,-0.05689981096408317
5390,133:9000000004231060,151,37,114,0.24503311258278146,10,0,1.0,0.7549668874172185
5417,133:9000000004231088,204,25,179,0.12254901960784313,2,8,0.2,0.07745098039215688
5422,133:9000000004231093,195,16,179,0.08205128205128205,7,3,0.7,0.6179487179487179
5424,133:9000000004231095,345,36,309,0.10434782608695652,8,2,0.8,0.6956521739130436
5443,133:9000000004231114,151,17,134,0.11258278145695365,10,0,1.0,0.8874172185430463
5446,133:9000000004231117,128,29,99,0.2265625,9,1,0.9,0.6734375
5455,133:9000000004231126,231,28,203,0.12121212121212122,7,3,0.7,0.5787878787878787
5463,133:9000000004231134,122,25,97,0.20491803278688525,9,1,0.9,0.6950819672131148
5466,133:9000000004231137,227,29,198,0.1277533039647577,10,0,1.0,0.8722466960352423
5473,133:9000000004231144,189,37,152,0.19576719576719576,9,1,0.9,0.7042328042328043
5475,133:9000000004231146,169,15,154,0.08875739644970414,7,3,0.7,0.6112426035502958
5513,133:9000000004231186,265,39,226,0.1471698113207547,10,0,1.0,0.8528301886792453
5533,133:9000000004231206,112,15,97,0.13392857142857142,5,5,0.5,0.3660714285714286
5542,133:9000000004231216,196,45,151,0.22959183673469388,10,0,1.0,0.7704081632653061
5549,133:9000000004231223,721,87,634,0.12066574202496533,2,8,0.2,0.07933425797503468
5560,133:9000000004231234,301,48,253,0.15946843853820597,10,0,1.0,0.8405315614617941
5568,133:9000000004231242,251,18,233,0.07171314741035857,6,4,0.6,0.5282868525896414
5597,133:9000000004231271,256,24,232,0.09375,9,1,0.9,0.80625
5602,133:9000000004256572,194,16,178,0.08247422680412371,8,2,0.8,0.7175257731958763
5603,133:9000000004259857,218,27,191,0.12385321100917432,10,0,1.0,0.8761467889908257
5604,133:9000000004302635,239,18,221,0.07531380753138076,10,0,1.0,0.9246861924686193
5608,133:9000000004351049,241,83,158,0.34439834024896265,10,0,1.0,0.6556016597510373
5611,133:9000000004396815,239,57,182,0.2384937238493724,10,0,1.0,0.7615062761506276
5612,133:9000000004398420,205,14,191,0.06829268292682927,9,1,0.9,0.8317073170731708
5615,133:9000000004422402,173,19,154,0.10982658959537572,9,1,0.9,0.7901734104046243
5618,133:9000000004450241,119,14,105,0.11764705882352941,6,4,0.6,0.48235294117647054
5661,134:9000000000011920,39,2,37,0.05128205128205128,7,3,0.7,0.6487179487179486
5687,134:9000000000011965,177,73,104,0.4124293785310734,9,1,0.9,0.4875706214689266
5718,134:9000000000012014,114,18,96,0.15789473684210525,7,3,0.7,0.5421052631578946
5744,134:9000000000012065,19,12,7,0.631578947368421,10,0,1.0,0.368421052631579
5848,134:9000000000012281,119,7,112,0.058823529411764705,8,2,0.8,0.7411764705882353
5877,134:9000000000012343,12,3,9,0.25,7,3,0.7,0.44999999999999996
5917,134:9000000000012411,105,9,96,0.08571428571428572,6,4,0.6,0.5142857142857142
5920,134:9000000000012415,250,14,236,0.056,5,5,0.5,0.444
5969,134:9000000000012524,12,8,4,0.6666666666666666,8,2,0.8,0.13333333333333341
5972,134:9000000000012532,425,61,364,0.14352941176470588,3,7,0.3,0.1564705882352941
6070,134:9000000000012732,35,4,31,0.11428571428571428,8,2,0.8,0.6857142857142857
6095,134:9000000000012773,186,63,123,0.3387096774193548,10,0,1.0,0.6612903225806452
6110,134:9000000000012804,6,1,5,0.16666666666666666,3,7,0.3,0.13333333333333333
6131,134:9000000000012841,161,39,122,0.2422360248447205,10,0,1.0,0.7577639751552795
6154,134:9000000000012880,106,28,78,0.2641509433962264,7,3,0.7,0.43584905660377354
6219,134:9000000000012998,4,1,3,0.25,7,3,0.7,0.44999999999999996
6272,134:9000000000013109,378,22,356,0.0582010582010582,2,8,0.2,0.1417989417989418
6286,134:9000000000013141,26,1,25,0.038461538461538464,3,7,0.3,0.2615384615384615
6316,134:9000000000013203,137,19,118,0.1386861313868613,9,1,0.9,0.7613138686131387
6348,134:9000000000013266,25,5,20,0.2,3,7,0.3,0.09999999999999998
6385,134:9000000000013354,5,1,4,0.2,0,10,0.0,-0.2
6430,134:9000000000013441,51,8,43,0.1568627450980392,4,6,0.4,0.2431372549019608
6432,134:9000000000013444,34,4,30,0.11764705882352941,10,0,1.0,0.8823529411764706
6440,134:9000000000013456,156,42,114,0.2692307692307692,9,1,0.9,0.6307692307692307
6493,134:9000000000013559,180,44,136,0.24444444444444444,5,5,0.5,0.25555555555555554
6510,134:9000000000013588,130,37,93,0.2846153846153846,10,0,1.0,0.7153846153846154
6529,134:9000000000013623,25,12,13,0.48,7,3,0.7,0.21999999999999997
6582,134:9000000000013717,183,67,116,0.366120218579235,3,7,0.3,-0.066120218579235
6623,134:9000000000013794,7,1,6,0.14285714285714285,4,6,0.4,0.2571428571428572
6676,134:9000000000013899,283,31,252,0.10954063604240283,4,6,0.4,0.2904593639575972
6702,134:9000000000013943,22,4,18,0.18181818181818182,10,0,1.0,0.8181818181818181
6710,134:9000000000013951,16,5,11,0.3125,9,1,0.9,0.5875
6737,134:9000000000013993,61,4,57,0.06557377049180328,7,3,0.7,0.6344262295081967
6756,134:9000000000014025,65,15,50,0.23076923076923078,8,2,0.8,0.5692307692307692
6793,134:9000000000014102,5,2,3,0.4,6,4,0.6,0.19999999999999996
6816,134:9000000000014150,310,76,234,0.24516129032258063,9,1,0.9,0.6548387096774194
6817,134:9000000000014153,328,72,256,0.21951219512195122,9,1,0.9,0.6804878048780488
6886,134:9000000000014295,244,104,140,0.4262295081967213,9,1,0.9,0.47377049180327874
6905,134:9000000000014336,6,1,5,0.16666666666666666,7,3,0.7,0.5333333333333333
7047,134:9000000000014618,66,15,51,0.22727272727272727,7,3,0.7,0.47272727272727266
7057,134:9000000000014631,11,5,6,0.45454545454545453,3,7,0.3,-0.15454545454545454
7086,134:9000000000014690,84,17,67,0.20238095238095238,8,2,0.8,0.5976190476190477
7089,134:9000000000014693,13,3,10,0.23076923076923078,6,4,0.6,0.3692307692307692
7138,134:9000000000014778,88,44,44,0.5,8,2,0.8,0.30000000000000004
7174,134:9000000000014843,75,9,66,0.12,10,0,1.0,0.88
7209,134:9000000000014911,21,1,20,0.047619047619047616,8,2,0.8,0.7523809523809524
7256,134:9000000000015004,32,3,29,0.09375,8,2,0.8,0.70625
7278,134:9000000000015045,19,10,9,0.5263157894736842,8,2,0.8,0.27368421052631586
7338,134:9000000000015150,6,2,4,0.3333333333333333,8,2,0.8,0.46666666666666673
7341,134:9000000000015155,178,8,170,0.0449438202247191,9,1,0.9,0.8550561797752809
7348,134:9000000000015172,109,11,98,0.10091743119266056,4,6,0.4,0.29908256880733947
7412,134:9000000000015291,6,2,4,0.3333333333333333,5,5,0.5,0.16666666666666669
7607,134:9000000000015651,178,40,138,0.2247191011235955,10,0,1.0,0.7752808988764045
7609,134:9000000000015655,32,16,16,0.5,8,2,0.8,0.30000000000000004
7612,134:9000000000015661,51,3,48,0.058823529411764705,8,2,0.8,0.7411764705882353
7615,134:9000000000015666,12,5,7,0.4166666666666667,8,2,0.8,0.38333333333333336
7635,134:9000000000015697,58,4,54,0.06896551724137931,8,2,0.8,0.7310344827586207
7670,134:9000000000015763,99,40,59,0.40404040404040403,9,1,0.9,0.495959595959596
7691,134:9000000000015804,24,16,8,0.6666666666666666,10,0,1.0,0.33333333333333337
7699,134:9000000000015818,47,4,43,0.0851063829787234,9,1,0.9,0.8148936170212766
7707,134:9000000000015829,18,5,13,0.2777777777777778,5,5,0.5,0.2222222222222222
7746,134:9000000000015896,13,6,7,0.46153846153846156,9,1,0.9,0.43846153846153846
7767,134:9000000000015930,53,36,17,0.6792452830188679,9,1,0.9,0.22075471698113214
7796,134:9000000000015979,75,5,70,0.06666666666666667,8,2,0.8,0.7333333333333334
7829,134:9000000000016036,7,1,6,0.14285714285714285,6,4,0.6,0.45714285714285713
7843,134:9000000000016054,37,5,32,0.13513513513513514,6,4,0.6,0.46486486486486484
7883,134:9000000000016123,508,71,437,0.13976377952755906,9,1,0.9,0.760236220472441
7906,134:9000000000016180,139,17,122,0.1223021582733813,10,0,1.0,0.8776978417266187
8002,134:9000000000016331,99,9,90,0.09090909090909091,8,2,0.8,0.7090909090909091
8020,134:9000000000016364,6,4,2,0.6666666666666666,6,4,0.6,-0.06666666666666665
8048,134:9000000000016411,328,14,314,0.042682926829268296,4,6,0.4,0.35731707317073175
8053,134:9000000000016417,284,49,235,0.17253521126760563,9,1,0.9,0.7274647887323944
8102,134:9000000000016485,132,4,128,0.030303030303030304,7,3,0.7,0.6696969696969697
8135,134:9000000000016537,150,22,128,0.14666666666666667,6,4,0.6,0.4533333333333333
8138,134:9000000000016541,21,15,6,0.7142857142857143,8,2,0.8,0.08571428571428574
8163,134:9000000000016590,94,9,85,0.09574468085106383,8,2,0.8,0.7042553191489362
8175,134:9000000000016620,115,35,80,0.30434782608695654,10,0,1.0,0.6956521739130435
8222,134:9000000000016703,320,86,234,0.26875,4,6,0.4,0.13125000000000003
8259,134:9000000000016776,9,1,8,0.1111111111111111,8,2,0.8,0.6888888888888889
8333,134:9000000000016940,12,7,5,0.5833333333333334,7,3,0.7,0.11666666666666659
8341,134:9000000000016955,78,1,77,0.01282051282051282,9,1,0.9,0.8871794871794872
8348,134:9000000000016968,183,44,139,0.24043715846994534,8,2,0.8,0.5595628415300546
8366,134:9000000000016997,15,1,14,0.06666666666666667,6,4,0.6,0.5333333333333333
8371,134:9000000000017004,5,1,4,0.2,2,8,0.2,0.0
8374,134:9000000000017009,11,7,4,0.6363636363636364,7,3,0.7,0.0636363636363636
8385,134:9000000000017028,496,135,361,0.2721774193548387,10,0,1.0,0.7278225806451613
8403,134:9000000000017066,112,22,90,0.19642857142857142,6,4,0.6,0.4035714285714286
8405,134:9000000000017068,555,91,464,0.16396396396396395,3,7,0.3,0.13603603603603603
